r,Alpha_water,Alpha_TropStorm,Beta_Trop_Storm,alpha_etrop_storm,beta_etrop_storm,delta_etrop_storm
USA,-0.00065,0.001469567,0.000000391,0.000120686,0.2912144,0.04
CAN,-0.00057,7.36E-06,4.86E-09,0.000169725,0.063117456,0.04
WEU ,-0.00027,1.73E-08,2.13E-09,0.000209185,0.121209462,0.04
JPK ,0.000003,0.000328676,5.43E-07,1.04E-05,0.114939831,0.04
ANZ ,0.000003,0.000100282,6.68E-08,0.000276264,0.116317932,0.21
EEU ,-0.00697,0,0.00E+00,4.59E-05,0.050081393,0.04
FSU,-0.02754,1.72E-05,7.09E-09,4.41E-05,0.12684268,0.04
MDE ,-0.00133,0,1.39E-09,1.56E-05,0.052986905,0.04
CAM   ,-0.0013,0.0017726,8.22E-06,4.41E-05,0.12684268,0.04
SAM  ,-0.0014,1.31E-05,2.37E-08,3.58E-06,0.046527794,0.21
SAS  ,-0.00156,0.000936454,6.92E-06,0.000550631,0.204864801,0.21
SEA ,-0.00314,0.000414319,2.40E-06,6.27E-05,0.08572204,0.04
CHI,0.00569,0.001972917,2.87E-07,0.000167734,0.114203457,0.04
NAF   ,-0.00902,0,0.00E+00,2.81E-07,0.038346516,0.04
SSA,-0.0036,5.91E-05,1.44E-07,0.000550631,0.204864801,0.04
SIS ,-0.0013,0.00573135,4.91E-06,0.000426887,1.577927496,0.13

