"t","USA","CAN","WEU","JPK","ANZ","EEU","FSU","MDE","CAM","SAM","SAS","SEA","CHI","NAF","SSA","SIS"
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2015,1.14,1.13,1.14,1.105,1.13,1.16,1.07,1.045,1.13,1.12,1.13,1.09,1.235,1.12,1.14,1.09
2020,1.2,1.19,1.19,1.16,1.19,1.23,1.15,1.09,1.2,1.19,1.2,1.16,1.31,1.19,1.21,1.15
2025,1.275,1.265,1.26,1.235,1.265,1.405,1.32,1.21,1.335,1.32,1.33,1.29,1.455,1.32,1.345,1.275
2030,1.35,1.34,1.33,1.31,1.34,1.58,1.49,1.33,1.47,1.45,1.46,1.42,1.6,1.45,1.48,1.4
2035,1.41,1.4,1.39,1.37,1.4,1.74,1.645,1.44,1.59,1.57,1.585,1.54,1.735,1.57,1.6,1.515
2040,1.47,1.46,1.45,1.43,1.46,1.9,1.8,1.55,1.71,1.69,1.71,1.66,1.87,1.69,1.72,1.63
2045,1.51,1.495,1.49,1.465,1.495,2.005,1.9,1.61,1.75,1.73,1.775,1.72,1.94,1.73,1.765,1.675
2050,1.55,1.53,1.53,1.5,1.53,2.11,2,1.67,1.79,1.77,1.84,1.78,2.01,1.77,1.81,1.72
2055,1.595,1.58,1.58,1.55,1.58,2.255,2.135,1.765,1.855,1.835,1.945,1.88,2.125,1.835,1.875,1.78
2060,1.64,1.63,1.63,1.6,1.63,2.4,2.27,1.86,1.92,1.9,2.05,1.98,2.24,1.9,1.94,1.84
2065,1.705,1.69,1.69,1.66,1.69,2.615,2.475,2.015,2.04,2.015,2.215,2.145,2.425,2.015,2.06,1.95
2070,1.77,1.75,1.75,1.72,1.75,2.83,2.68,2.17,2.16,2.13,2.38,2.31,2.61,2.13,2.18,2.06
2075,1.885,1.87,1.865,1.83,1.87,3.285,3.11,2.51,2.44,2.41,2.755,2.675,3.02,2.41,2.46,2.33
2080,2,1.99,1.98,1.94,1.99,3.74,3.54,2.85,2.72,2.69,3.13,3.04,3.43,2.69,2.74,2.6
2085,2.05,2.035,2.03,1.99,2.035,4.045,3.83,3.08,2.875,2.84,3.385,3.285,3.705,2.84,2.895,2.745
2090,2.1,2.08,2.08,2.04,2.08,4.35,4.12,3.31,3.03,2.99,3.64,3.53,3.98,2.99,3.05,2.89
2095,2.105,2.085,2.08,2.045,2.085,4.425,4.19,3.37,3.06,3.02,3.705,3.595,4.055,3.02,3.08,2.92
2100,2.11,2.09,2.08,2.05,2.09,4.5,4.26,3.43,3.09,3.05,3.77,3.66,4.13,3.05,3.11,2.95
