DUMMY,heat_over65_1,heat_over65_2,heat_under65_1,heat_under65_2,cold_over65_1,cold_over65_2,cold_under65_1,cold_under65_2,respiratory_1,respiratory_2
USA,34.9374,1.7285,1.0988,0.0471,-161.4521,2.8314,151.6768,-155.1251,0.4342,5.5281
CAN,27.328,1.7285,1.0705,0.0471,-205.4176,2.8314,195.6424,199.0906,0.4342,5.5281
WEU,25.757,1.7966,0.4022,0.0467,-145.9539,2.8279,19.2327,-21.7191,0.4341,2.0412
JPK,8.2986,0.7493,1.0356,0.0559,-33.683,1.2018,65.5934,-67.185,0.4342,4.7723
ANZ,18.8372,1.7286,0.4493,0.047,-91.0606,2.8314,67.1775,-68.9576,0.4342,4.7024
EEU,29.6249,1.7531,0.6119,0.047,-201.8789,2.8314,61.484,-65.2217,0.4342,2.4533
FSU,36.4415,1.7285,0.6468,0.0471,-190.3936,2.8314,-3.4422,0.0473,0.4342,5.5281
MDE,50.5493,1.7011,1.0931,0.0452,-136.8033,2.7443,-2.4508,0.0457,0.4194,2.5196
CAM,44.7697,1.662,0.9144,0.0471,-54.1635,2.7085,-0.6855,-0.484,0.4342,4.1696
SAM,33.7621,1.7535,0.5893,0.047,-78.4126,2.8094,16.6942,-18.2021,0.4335,3.0017
SAS,74.5092,1.7378,1.6317,0.047,-80.232,2.813,-1.6072,0.0473,0.4342,4.2806
SEA,-18.7223,-0.6683,0.8545,0.0411,12.0899,-1.1081,-0.6838,0.0413,0.4339,2.6935
CHI,82.0355,1.2095,0.7565,0.0474,-66.6796,20.193,81.1077,-84.8815,0.4319,5.3883
NAF,50.4842,1.7096,1.0409,0.0471,-102.4339,2.8314,-1.9826,0.0473,0.4341,3.0711
SSA,43.4397,1.6578,0.8682,0.044,-49.97,2.6771,-1.0407,0.0448,0.411,1.5337
SIS,16.9938,0.4223,1.0227,0.0324,-10.4503,0.5138,1.6035,-2.3428,0.2522,1.669
